Reference, Value, Footprint, Datasheet, DigiKey P/N, URL, Man P/N, Description, Price, Cost, TLP291, Digikey P/N,
R59,10k,Resistors_SMD:R_0805_HandSoldering,,P10.0KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1002V/P10.0KCCT-ND/119248,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,0.1,,,,
R58,24.9k,Resistors_SMD:R_0805_HandSoldering,,P24.9KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2492V/P24.9KCCT-ND/119375,ERJ-6ENF2492V,,,,,,
C30,100p,Capacitors_SMD:C_0805_HandSoldering,,399-1122-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,C0805C101J5GACTU,,,,,,
C32,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
C35,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
R64,24.9k,Resistors_SMD:R_0805_HandSoldering,,P24.9KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2492V/P24.9KCCT-ND/119375,ERJ-6ENF2492V,,,,,,
R66,24.9k,Resistors_SMD:R_0805_HandSoldering,,P24.9KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2492V/P24.9KCCT-ND/119375,ERJ-6ENF2492V,,,,,,
C47,100p,Capacitors_SMD:C_0805_HandSoldering,,399-1122-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,C0805C101J5GACTU,,,,,,
C46,100p,Capacitors_SMD:C_0805_HandSoldering,,399-1122-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,C0805C101J5GACTU,,,,,,
U20,ACPL-C870,custom_footprints:Iso_Diff_Amp_ACPL,https://docs.broadcom.com/docs/AV02-3563EN,516-2578-5-ND,http://www.digikey.com/product-detail/en/broadcom-limited/ACPL-C870-000E/516-2578-5-ND/3523705,ACPL-C870-000E,,,,,,
